publisher: beginning loop
publishing #1: oxebots_interfaces.msg.RobotCmd(robots=[oxebots_interfaces.msg.RobotCmdData(id=0, kick_speed=0.0, x_velocity=0.5, y_velocity=0.0, angular_velocity=0.0)])
publishing #29: oxebots_interfaces.msg.RobotCmd(robots=[oxebots_interfaces.msg.RobotCmdData(id=0, kick_speed=0.0, x_velocity=0.5, y_velocity=0.0, angular_velocity=0.0)])

publishing #30: oxebots_interfaces.msg.RobotCmd(robots=[oxebots_interfaces.msg.RobotCmdData(id=0, kick_speed=0.0, x_velocity=0.5, y_velocity=0.0, angular_velocity=0.0)])

publishing #31: oxebots_interfaces.msg.RobotCmd(robots=[oxebots_interfaces.msg.RobotCmdData(id=0, kick_speed=0.0, x_velocity=0.5, y_velocity=0.0, angular_velocity=0.0)])

publishing #32: oxebots_interfaces.msg.RobotCmd(robots=[oxebots_interfaces.msg.RobotCmdData(id=0, kick_speed=0.0, x_velocity=0.5, y_velocity=0.0, angular_velocity=0.0)])

publishing #33: oxebots_interfaces.msg.RobotCmd(robots=[oxebots_interfaces.msg.RobotCmdData(id=0, kick_speed=0.0, x_velocity=0.5, y_velocity=0.0, angular_velocity=0.0)])

publishing #34: oxebots_interfaces.msg.RobotCmd(robots=[oxebots_interfaces.msg.RobotCmdData(id=0, kick_speed=0.0, x_velocity=0.5, y_velocity=0.0, angular_velocity=0.0)])

publishing #35: oxebots_interfaces.msg.RobotCmd(robots=[oxebots_interfaces.msg.RobotCmdData(id=0, kick_speed=0.0, x_velocity=0.5, y_velocity=0.0, angular_velocity=0.0)])

publishing #36: oxebots_interfaces.msg.RobotCmd(robots=[oxebots_interfaces.msg.RobotCmdData(id=0, kick_speed=0.0, x_velocity=0.5, y_velocity=0.0, angular_velocity=0.0)])

publishing #37: oxebots_interfaces.msg.RobotCmd(robots=[oxebots_interfaces.msg.RobotCmdData(id=0, kick_speed=0.0, x_velocity=0.5, y_velocity=0.0, angular_velocity=0.0)])

publishing #38: oxebots_interfaces.msg.RobotCmd(robots=[oxebots_interfaces.msg.RobotCmdData(id=0, kick_speed=0.0, x_velocity=0.5, y_velocity=0.0, angular_velocity=0.0)])

publishing #39: oxebots_interfaces.msg.RobotCmd(robots=[oxebots_interfaces.msg.RobotCmdData(id=0, kick_speed=0.0, x_velocity=0.5, y_velocity=0.0, angular_velocity=0.0)])

publishing #40: oxebots_interfaces.msg.RobotCmd(robots=[oxebots_interfaces.msg.RobotCmdData(id=0, kick_speed=0.0, x_velocity=0.5, y_velocity=0.0, angular_velocity=0.0)])

publishing #41: oxebots_interfaces.msg.RobotCmd(robots=[oxebots_interfaces.msg.RobotCmdData(id=0, kick_speed=0.0, x_velocity=0.5, y_velocity=0.0, angular_velocity=0.0)])

publishing #42: oxebots_interfaces.msg.RobotCmd(robots=[oxebots_interfaces.msg.RobotCmdData(id=0, kick_speed=0.0, x_velocity=0.5, y_velocity=0.0, angular_velocity=0.0)])

publishing #43: oxebots_interfaces.msg.RobotCmd(robots=[oxebots_interfaces.msg.RobotCmdData(id=0, kick_speed=0.0, x_velocity=0.5, y_velocity=0.0, angular_velocity=0.0)])

publishing #44: oxebots_interfaces.msg.RobotCmd(robots=[oxebots_interfaces.msg.RobotCmdData(id=0, kick_speed=0.0, x_velocity=0.5, y_velocity=0.0, angular_velocity=0.0)])

publishing #45: oxebots_interfaces.msg.RobotCmd(robots=[oxebots_interfaces.msg.RobotCmdData(id=0, kick_speed=0.0, x_velocity=0.5, y_velocity=0.0, angular_velocity=0.0)])

publishing #46: oxebots_interfaces.msg.RobotCmd(robots=[oxebots_interfaces.msg.RobotCmdData(id=0, kick_speed=0.0, x_velocity=0.5, y_velocity=0.0, angular_velocity=0.0)])

publishing #47: oxebots_interfaces.msg.RobotCmd(robots=[oxebots_interfaces.msg.RobotCmdData(id=0, kick_speed=0.0, x_velocity=0.5, y_velocity=0.0, angular_velocity=0.0)])

